Posting Date;Simplified Description;Transaction Description;Reference;Additional Information;Transaction Type;Category;Subcategory;Debit;Credit;Transaction Date;Value Date;Reconciliation Flag
21/07/2025;BASIC FIT;SEPA DIRECT DEBIT BASIC FIT 2025-07;DEMO202507000155;DEMO SUBSCRIPTION;Direct Debit;Health & Wellness;Sports & Fitness;-24,99;;21/07/2025;21/07/2025;0
21/07/2025;MONOPRIX;CARD MONOPRIX PURCHASE 200725;DEMO202507000162;;Card Payment;Food;Supermarket;-71,37;;20/07/2025;21/07/2025;0
19/07/2025;OPENAI CHATGPT;CARD OPENAI CHATGPT 2025-07;DEMO202507000154;DEMO SUBSCRIPTION;Card Payment;Shopping & Services;Digital Services;-23,00;;18/07/2025;19/07/2025;0
18/07/2025;BANK FEES;DEMO PACKAGE FEE;DEMO202507000157;;Bank Fees;Banking & Insurance;Bank Fees;-9,90;;18/07/2025;18/07/2025;0
18/07/2025;FEE REBATE;DEMO PACKAGE SERVICES REBATE;DEMO202507000158;;Bank Fees;Banking & Insurance;Bank Fees;;+4,95;18/07/2025;18/07/2025;0
18/07/2025;CENTRAL PHARMACY;CARD CENTRAL PHARMACY PURCHASE 170725;DEMO202507000169;;Card Payment;Health & Wellness;Pharmacy;-23,24;;17/07/2025;18/07/2025;0
17/07/2025;NETFLIX;CARD NETFLIX 2025-07;DEMO202507000153;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Video Streaming;-13,49;;16/07/2025;17/07/2025;0
15/07/2025;MONOPRIX;CARD MONOPRIX PURCHASE 140725;DEMO202507000161;;Card Payment;Food;Supermarket;-49,10;;14/07/2025;15/07/2025;0
15/07/2025;SPOTIFY;CARD SPOTIFY 2025-07;DEMO202507000152;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Music;-11,12;;14/07/2025;15/07/2025;0
14/07/2025;FNAC DIRECT;CARD FNAC DIRECT PURCHASE 130725;DEMO202507000168;;Card Payment;Shopping & Services;Shopping & Services - Other;-95,19;;13/07/2025;14/07/2025;0
12/07/2025;SERENITY INSURANCE;SEPA DIRECT DEBIT SERENITY INSURANCE 2025-07;DEMO202507000151;DEMO SUBSCRIPTION;Direct Debit;Banking & Insurance;Home Insurance;-38,60;;12/07/2025;12/07/2025;0
11/07/2025;MOBILE NOVA;SEPA DIRECT DEBIT MOBILE NOVA 2025-07;DEMO202507000150;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Mobile Phone;-14,99;;11/07/2025;11/07/2025;0
11/07/2025;UBER;CARD UBER TRIP PURCHASE 100725;DEMO202507000166;;Card Payment;Transportation;Taxi & Ride-Hailing;-23,39;;10/07/2025;11/07/2025;0
10/07/2025;RIVIERA HOTEL DEMO;CARD RIVIERA HOTEL DEMO;DEMO202507000436;EXCEPTIONAL DEMO TRANSACTION;Card Payment;Leisure & Travel;Hotels;-412,80;;09/07/2025;10/07/2025;0
09/07/2025;NOVA FIBER;SEPA DIRECT DEBIT NOVA FIBER 2025-07;DEMO202507000149;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Internet;-29,99;;09/07/2025;09/07/2025;0
09/07/2025;INTERMARCHE;CARD INTERMARCHE PURCHASE 080725;DEMO202507000160;;Card Payment;Food;Supermarket;-85,81;;08/07/2025;09/07/2025;0
08/07/2025;AIR FRANCE DEMO;CARD AIR FRANCE DEMO;DEMO202507000435;EXCEPTIONAL DEMO TRANSACTION;Card Payment;Leisure & Travel;Travel;-286,40;;07/07/2025;08/07/2025;0
07/07/2025;CLEAR ENERGY;SEPA DIRECT DEBIT CLEAR ENERGY 2025-07;DEMO202507000148;DEMO MONTHLY ENERGY BILL;Direct Debit;Housing & Real Estate;Electricity, Gas & Water;-60,00;;07/07/2025;07/07/2025;0
07/07/2025;SUSHI DEMO;CARD SUSHI DEMO PURCHASE 060725;DEMO202507000164;;Card Payment;Food;Restaurants & Cafes;-53,78;;06/07/2025;07/07/2025;0
03/07/2025;LILAC RESIDENCE;SEPA TRANSFER RENT 2025-07;DEMO202507000147;RENT AND SERVICE CHARGES - FICTIONAL DATA;Bank Transfer;Housing & Real Estate;Rent & Service Charges;-820,00;;03/07/2025;03/07/2025;0
03/07/2025;INTERMARCHE;CARD INTERMARCHE PURCHASE 020725;DEMO202507000159;;Card Payment;Food;Supermarket;-62,15;;02/07/2025;03/07/2025;0
28/06/2025;HORIZON WORKSHOP DEMO;SEPA TRANSFER HORIZON WORKSHOP SALARY 2025-06;DEMO202506000121;NET SALARY 2025-06 - FICTIONAL DATA;Incoming Bank Transfer;Salary & Income;Salary;;+2850,00;28/06/2025;28/06/2025;0
27/06/2025;LIDL;CARD LIDL PURCHASE 260625;DEMO202506000139;;Card Payment;Food;Supermarket;-104,58;;26/06/2025;27/06/2025;0
26/06/2025;UBER;CARD UBER TRIP PURCHASE 250625;DEMO202506000143;;Card Payment;Transportation;Taxi & Ride-Hailing;-9,96;;25/06/2025;26/06/2025;0
24/06/2025;NAVIGO;SEPA DIRECT DEBIT NAVIGO 2025-06;DEMO202506000132;DEMO SUBSCRIPTION;Direct Debit;Transportation;Public Transportation;-86,40;;24/06/2025;24/06/2025;0
23/06/2025;SUSHI DEMO;CARD SUSHI DEMO PURCHASE 220625;DEMO202506000141;;Card Payment;Food;Restaurants & Cafes;-52,72;;22/06/2025;23/06/2025;0
21/06/2025;BASIC FIT;SEPA DIRECT DEBIT BASIC FIT 2025-06;DEMO202506000131;DEMO SUBSCRIPTION;Direct Debit;Health & Wellness;Sports & Fitness;-24,99;;21/06/2025;21/06/2025;0
21/06/2025;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 200625;DEMO202506000138;;Card Payment;Food;Supermarket;-38,64;;20/06/2025;21/06/2025;0
20/06/2025;FREELANCE ASSIGNMENT DEMO;SEPA TRANSFER FREELANCE ASSIGNMENT DEMO;DEMO202506000122;QUARTERLY ASSIGNMENT 2025-06;Incoming Bank Transfer;Salary & Income;Additional Income;;+582,66;20/06/2025;20/06/2025;0
19/06/2025;GROUP REFUND DEMO;SEPA TRANSFER GROUP REFUND DEMO;DEMO202506000145;FICTIONAL EXPENSE SHARING;Incoming Bank Transfer;Transfers;Reimbursement Between Friends & Family;;+91,66;19/06/2025;19/06/2025;0
19/06/2025;OPENAI CHATGPT;CARD OPENAI CHATGPT 2025-06;DEMO202506000130;DEMO SUBSCRIPTION;Card Payment;Shopping & Services;Digital Services;-23,00;;18/06/2025;19/06/2025;0
18/06/2025;BANK FEES;DEMO PACKAGE FEE;DEMO202506000133;;Bank Fees;Banking & Insurance;Bank Fees;-9,90;;18/06/2025;18/06/2025;0
18/06/2025;FEE REBATE;DEMO PACKAGE SERVICES REBATE;DEMO202506000134;;Bank Fees;Banking & Insurance;Bank Fees;;+4,95;18/06/2025;18/06/2025;0
17/06/2025;NETFLIX;CARD NETFLIX 2025-06;DEMO202506000129;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Video Streaming;-13,49;;16/06/2025;17/06/2025;0
15/06/2025;INTERMARCHE;CARD INTERMARCHE PURCHASE 140625;DEMO202506000137;;Card Payment;Food;Supermarket;-98,12;;14/06/2025;15/06/2025;0
15/06/2025;SPOTIFY;CARD SPOTIFY 2025-06;DEMO202506000128;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Music;-11,12;;14/06/2025;15/06/2025;0
14/06/2025;UNIQLO;CARD UNIQLO PURCHASE 130625;DEMO202506000144;;Card Payment;Shopping & Services;Shopping & Services - Other;-123,71;;13/06/2025;14/06/2025;0
12/06/2025;SERENITY INSURANCE;SEPA DIRECT DEBIT SERENITY INSURANCE 2025-06;DEMO202506000127;DEMO SUBSCRIPTION;Direct Debit;Banking & Insurance;Home Insurance;-38,60;;12/06/2025;12/06/2025;0
11/06/2025;MOBILE NOVA;SEPA DIRECT DEBIT MOBILE NOVA 2025-06;DEMO202506000126;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Mobile Phone;-14,99;;11/06/2025;11/06/2025;0
11/06/2025;UBER;CARD UBER TRIP PURCHASE 100625;DEMO202506000142;;Card Payment;Transportation;Taxi & Ride-Hailing;-13,28;;10/06/2025;11/06/2025;0
09/06/2025;NOVA FIBER;SEPA DIRECT DEBIT NOVA FIBER 2025-06;DEMO202506000125;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Internet;-29,99;;09/06/2025;09/06/2025;0
09/06/2025;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 080625;DEMO202506000136;;Card Payment;Food;Supermarket;-58,32;;08/06/2025;09/06/2025;0
07/06/2025;CLEAR ENERGY;SEPA DIRECT DEBIT CLEAR ENERGY 2025-06;DEMO202506000124;DEMO MONTHLY ENERGY BILL;Direct Debit;Housing & Real Estate;Electricity, Gas & Water;-64,00;;07/06/2025;07/06/2025;0
07/06/2025;REPUBLIC CAFE;CARD REPUBLIC CAFE PURCHASE 060625;DEMO202506000140;;Card Payment;Food;Restaurants & Cafes;-50,93;;06/06/2025;07/06/2025;0
03/06/2025;LILAC RESIDENCE;SEPA TRANSFER RENT 2025-06;DEMO202506000123;RENT AND SERVICE CHARGES - FICTIONAL DATA;Bank Transfer;Housing & Real Estate;Rent & Service Charges;-820,00;;03/06/2025;03/06/2025;0
03/06/2025;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 020625;DEMO202506000135;;Card Payment;Food;Supermarket;-88,54;;02/06/2025;03/06/2025;0
28/05/2025;HORIZON WORKSHOP DEMO;SEPA TRANSFER HORIZON WORKSHOP SALARY 2025-05;DEMO202505000097;NET SALARY 2025-05 - FICTIONAL DATA;Incoming Bank Transfer;Salary & Income;Salary;;+2850,00;28/05/2025;28/05/2025;0
27/05/2025;LIDL;CARD LIDL PURCHASE 260525;DEMO202505000114;;Card Payment;Food;Supermarket;-99,41;;26/05/2025;27/05/2025;0
26/05/2025;UBER;CARD UBER TRIP PURCHASE 250525;DEMO202505000118;;Card Payment;Transportation;Taxi & Ride-Hailing;-16,13;;25/05/2025;26/05/2025;0
24/05/2025;NAVIGO;SEPA DIRECT DEBIT NAVIGO 2025-05;DEMO202505000107;DEMO SUBSCRIPTION;Direct Debit;Transportation;Public Transportation;-86,40;;24/05/2025;24/05/2025;0
23/05/2025;SUSHI DEMO;CARD SUSHI DEMO PURCHASE 220525;DEMO202505000116;;Card Payment;Food;Restaurants & Cafes;-38,72;;22/05/2025;23/05/2025;0
21/05/2025;BASIC FIT;SEPA DIRECT DEBIT BASIC FIT 2025-05;DEMO202505000106;DEMO SUBSCRIPTION;Direct Debit;Health & Wellness;Sports & Fitness;-24,99;;21/05/2025;21/05/2025;0
21/05/2025;LIDL;CARD LIDL PURCHASE 200525;DEMO202505000113;;Card Payment;Food;Supermarket;-48,20;;20/05/2025;21/05/2025;0
19/05/2025;OPENAI CHATGPT;CARD OPENAI CHATGPT 2025-05;DEMO202505000105;DEMO SUBSCRIPTION;Card Payment;Shopping & Services;Digital Services;-23,00;;18/05/2025;19/05/2025;0
18/05/2025;BANK FEES;DEMO PACKAGE FEE;DEMO202505000108;;Bank Fees;Banking & Insurance;Bank Fees;-9,90;;18/05/2025;18/05/2025;0
18/05/2025;FEE REBATE;DEMO PACKAGE SERVICES REBATE;DEMO202505000109;;Bank Fees;Banking & Insurance;Bank Fees;;+4,95;18/05/2025;18/05/2025;0
18/05/2025;CENTRAL PHARMACY;CARD CENTRAL PHARMACY PURCHASE 170525;DEMO202505000120;;Card Payment;Health & Wellness;Pharmacy;-14,29;;17/05/2025;18/05/2025;0
17/05/2025;NETFLIX;CARD NETFLIX 2025-05;DEMO202505000104;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Video Streaming;-13,49;;16/05/2025;17/05/2025;0
15/05/2025;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 140525;DEMO202505000112;;Card Payment;Food;Supermarket;-57,48;;14/05/2025;15/05/2025;0
15/05/2025;SPOTIFY;CARD SPOTIFY 2025-05;DEMO202505000103;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Music;-11,12;;14/05/2025;15/05/2025;0
14/05/2025;DECATHLON;CARD DECATHLON PURCHASE 130525;DEMO202505000119;;Card Payment;Shopping & Services;Shopping & Services - Other;-134,36;;13/05/2025;14/05/2025;0
12/05/2025;SERENITY INSURANCE;SEPA DIRECT DEBIT SERENITY INSURANCE 2025-05;DEMO202505000102;DEMO SUBSCRIPTION;Direct Debit;Banking & Insurance;Home Insurance;-38,60;;12/05/2025;12/05/2025;0
11/05/2025;MOBILE NOVA;SEPA DIRECT DEBIT MOBILE NOVA 2025-05;DEMO202505000101;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Mobile Phone;-14,99;;11/05/2025;11/05/2025;0
11/05/2025;UBER;CARD UBER TRIP PURCHASE 100525;DEMO202505000117;;Card Payment;Transportation;Taxi & Ride-Hailing;-10,82;;10/05/2025;11/05/2025;0
09/05/2025;NOVA FIBER;SEPA DIRECT DEBIT NOVA FIBER 2025-05;DEMO202505000100;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Internet;-29,99;;09/05/2025;09/05/2025;0
09/05/2025;MONOPRIX;CARD MONOPRIX PURCHASE 080525;DEMO202505000111;;Card Payment;Food;Supermarket;-41,41;;08/05/2025;09/05/2025;0
07/05/2025;CLEAR ENERGY;SEPA DIRECT DEBIT CLEAR ENERGY 2025-05;DEMO202505000099;DEMO MONTHLY ENERGY BILL;Direct Debit;Housing & Real Estate;Electricity, Gas & Water;-70,00;;07/05/2025;07/05/2025;0
07/05/2025;REPUBLIC CAFE;CARD REPUBLIC CAFE PURCHASE 060525;DEMO202505000115;;Card Payment;Food;Restaurants & Cafes;-27,59;;06/05/2025;07/05/2025;0
03/05/2025;LILAC RESIDENCE;SEPA TRANSFER RENT 2025-05;DEMO202505000098;RENT AND SERVICE CHARGES - FICTIONAL DATA;Bank Transfer;Housing & Real Estate;Rent & Service Charges;-820,00;;03/05/2025;03/05/2025;0
03/05/2025;MONOPRIX;CARD MONOPRIX PURCHASE 020525;DEMO202505000110;;Card Payment;Food;Supermarket;-92,27;;02/05/2025;03/05/2025;0
28/04/2025;HORIZON WORKSHOP DEMO;SEPA TRANSFER HORIZON WORKSHOP SALARY 2025-04;DEMO202504000074;NET SALARY 2025-04 - FICTIONAL DATA;Incoming Bank Transfer;Salary & Income;Salary;;+2850,00;28/04/2025;28/04/2025;0
27/04/2025;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 260425;DEMO202504000091;;Card Payment;Food;Supermarket;-64,94;;26/04/2025;27/04/2025;0
26/04/2025;UBER;CARD UBER TRIP PURCHASE 250425;DEMO202504000095;;Card Payment;Transportation;Taxi & Ride-Hailing;-19,66;;25/04/2025;26/04/2025;0
24/04/2025;NAVIGO;SEPA DIRECT DEBIT NAVIGO 2025-04;DEMO202504000084;DEMO SUBSCRIPTION;Direct Debit;Transportation;Public Transportation;-86,40;;24/04/2025;24/04/2025;0
23/04/2025;SUSHI DEMO;CARD SUSHI DEMO PURCHASE 220425;DEMO202504000093;;Card Payment;Food;Restaurants & Cafes;-19,74;;22/04/2025;23/04/2025;0
21/04/2025;BASIC FIT;SEPA DIRECT DEBIT BASIC FIT 2025-04;DEMO202504000083;DEMO SUBSCRIPTION;Direct Debit;Health & Wellness;Sports & Fitness;-24,99;;21/04/2025;21/04/2025;0
21/04/2025;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 200425;DEMO202504000090;;Card Payment;Food;Supermarket;-74,38;;20/04/2025;21/04/2025;0
19/04/2025;OPENAI CHATGPT;CARD OPENAI CHATGPT 2025-04;DEMO202504000082;DEMO SUBSCRIPTION;Card Payment;Shopping & Services;Digital Services;-23,00;;18/04/2025;19/04/2025;0
18/04/2025;BANK FEES;DEMO PACKAGE FEE;DEMO202504000085;;Bank Fees;Banking & Insurance;Bank Fees;-9,90;;18/04/2025;18/04/2025;0
18/04/2025;FEE REBATE;DEMO PACKAGE SERVICES REBATE;DEMO202504000086;;Bank Fees;Banking & Insurance;Bank Fees;;+4,95;18/04/2025;18/04/2025;0
17/04/2025;NETFLIX;CARD NETFLIX 2025-04;DEMO202504000081;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Video Streaming;-13,49;;16/04/2025;17/04/2025;0
15/04/2025;MONOPRIX;CARD MONOPRIX PURCHASE 140425;DEMO202504000089;;Card Payment;Food;Supermarket;-55,34;;14/04/2025;15/04/2025;0
15/04/2025;SPOTIFY;CARD SPOTIFY 2025-04;DEMO202504000080;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Music;-11,12;;14/04/2025;15/04/2025;0
14/04/2025;AMAZON DEMO;CARD AMAZON DEMO PURCHASE 130425;DEMO202504000096;;Card Payment;Shopping & Services;Shopping & Services - Other;-65,12;;13/04/2025;14/04/2025;0
12/04/2025;SERENITY INSURANCE;SEPA DIRECT DEBIT SERENITY INSURANCE 2025-04;DEMO202504000079;DEMO SUBSCRIPTION;Direct Debit;Banking & Insurance;Home Insurance;-38,60;;12/04/2025;12/04/2025;0
11/04/2025;MOBILE NOVA;SEPA DIRECT DEBIT MOBILE NOVA 2025-04;DEMO202504000078;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Mobile Phone;-14,99;;11/04/2025;11/04/2025;0
11/04/2025;UBER;CARD UBER TRIP PURCHASE 100425;DEMO202504000094;;Card Payment;Transportation;Taxi & Ride-Hailing;-18,63;;10/04/2025;11/04/2025;0
09/04/2025;NOVA FIBER;SEPA DIRECT DEBIT NOVA FIBER 2025-04;DEMO202504000077;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Internet;-29,99;;09/04/2025;09/04/2025;0
09/04/2025;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 080425;DEMO202504000088;;Card Payment;Food;Supermarket;-80,33;;08/04/2025;09/04/2025;0
07/04/2025;CLEAR ENERGY;SEPA DIRECT DEBIT CLEAR ENERGY 2025-04;DEMO202504000076;DEMO MONTHLY ENERGY BILL;Direct Debit;Housing & Real Estate;Electricity, Gas & Water;-77,00;;07/04/2025;07/04/2025;0
07/04/2025;REPUBLIC CAFE;CARD REPUBLIC CAFE PURCHASE 060425;DEMO202504000092;;Card Payment;Food;Restaurants & Cafes;-21,22;;06/04/2025;07/04/2025;0
03/04/2025;LILAC RESIDENCE;SEPA TRANSFER RENT 2025-04;DEMO202504000075;RENT AND SERVICE CHARGES - FICTIONAL DATA;Bank Transfer;Housing & Real Estate;Rent & Service Charges;-820,00;;03/04/2025;03/04/2025;0
03/04/2025;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 020425;DEMO202504000087;;Card Payment;Food;Supermarket;-71,13;;02/04/2025;03/04/2025;0
28/03/2025;HORIZON WORKSHOP DEMO;SEPA TRANSFER HORIZON WORKSHOP SALARY 2025-03;DEMO202503000049;NET SALARY 2025-03 - FICTIONAL DATA;Incoming Bank Transfer;Salary & Income;Salary;;+2850,00;28/03/2025;28/03/2025;0
27/03/2025;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 260325;DEMO202503000067;;Card Payment;Food;Supermarket;-86,96;;26/03/2025;27/03/2025;0
26/03/2025;UBER;CARD UBER TRIP PURCHASE 250325;DEMO202503000071;;Card Payment;Transportation;Taxi & Ride-Hailing;-17,96;;25/03/2025;26/03/2025;0
24/03/2025;NAVIGO;SEPA DIRECT DEBIT NAVIGO 2025-03;DEMO202503000060;DEMO SUBSCRIPTION;Direct Debit;Transportation;Public Transportation;-86,40;;24/03/2025;24/03/2025;0
23/03/2025;REPUBLIC CAFE;CARD REPUBLIC CAFE PURCHASE 220325;DEMO202503000069;;Card Payment;Food;Restaurants & Cafes;-48,47;;22/03/2025;23/03/2025;0
21/03/2025;BASIC FIT;SEPA DIRECT DEBIT BASIC FIT 2025-03;DEMO202503000059;DEMO SUBSCRIPTION;Direct Debit;Health & Wellness;Sports & Fitness;-24,99;;21/03/2025;21/03/2025;0
21/03/2025;MONOPRIX;CARD MONOPRIX PURCHASE 200325;DEMO202503000066;;Card Payment;Food;Supermarket;-59,97;;20/03/2025;21/03/2025;0
20/03/2025;FREELANCE ASSIGNMENT DEMO;SEPA TRANSFER FREELANCE ASSIGNMENT DEMO;DEMO202503000050;QUARTERLY ASSIGNMENT 2025-03;Incoming Bank Transfer;Salary & Income;Additional Income;;+641,26;20/03/2025;20/03/2025;0
19/03/2025;OPENAI CHATGPT;CARD OPENAI CHATGPT 2025-03;DEMO202503000058;DEMO SUBSCRIPTION;Card Payment;Shopping & Services;Digital Services;-23,00;;18/03/2025;19/03/2025;0
18/03/2025;BANK FEES;DEMO PACKAGE FEE;DEMO202503000061;;Bank Fees;Banking & Insurance;Bank Fees;-9,90;;18/03/2025;18/03/2025;0
18/03/2025;FEE REBATE;DEMO PACKAGE SERVICES REBATE;DEMO202503000062;;Bank Fees;Banking & Insurance;Bank Fees;;+4,95;18/03/2025;18/03/2025;0
18/03/2025;CENTRAL PHARMACY;CARD CENTRAL PHARMACY PURCHASE 170325;DEMO202503000073;;Card Payment;Health & Wellness;Pharmacy;-41,78;;17/03/2025;18/03/2025;0
17/03/2025;NETFLIX;CARD NETFLIX 2025-03;DEMO202503000057;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Video Streaming;-13,49;;16/03/2025;17/03/2025;0
15/03/2025;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 140325;DEMO202503000065;;Card Payment;Food;Supermarket;-84,64;;14/03/2025;15/03/2025;0
15/03/2025;SPOTIFY;CARD SPOTIFY 2025-03;DEMO202503000056;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Music;-11,12;;14/03/2025;15/03/2025;0
14/03/2025;AMAZON DEMO;CARD AMAZON DEMO PURCHASE 130325;DEMO202503000072;;Card Payment;Shopping & Services;Shopping & Services - Other;-113,70;;13/03/2025;14/03/2025;0
12/03/2025;SERENITY INSURANCE;SEPA DIRECT DEBIT SERENITY INSURANCE 2025-03;DEMO202503000055;DEMO SUBSCRIPTION;Direct Debit;Banking & Insurance;Home Insurance;-38,60;;12/03/2025;12/03/2025;0
11/03/2025;MOBILE NOVA;SEPA DIRECT DEBIT MOBILE NOVA 2025-03;DEMO202503000054;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Mobile Phone;-14,99;;11/03/2025;11/03/2025;0
11/03/2025;UBER;CARD UBER TRIP PURCHASE 100325;DEMO202503000070;;Card Payment;Transportation;Taxi & Ride-Hailing;-24,62;;10/03/2025;11/03/2025;0
09/03/2025;NOVA FIBER;SEPA DIRECT DEBIT NOVA FIBER 2025-03;DEMO202503000053;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Internet;-29,99;;09/03/2025;09/03/2025;0
09/03/2025;INTERMARCHE;CARD INTERMARCHE PURCHASE 080325;DEMO202503000064;;Card Payment;Food;Supermarket;-47,65;;08/03/2025;09/03/2025;0
07/03/2025;CLEAR ENERGY;SEPA DIRECT DEBIT CLEAR ENERGY 2025-03;DEMO202503000052;DEMO MONTHLY ENERGY BILL;Direct Debit;Housing & Real Estate;Electricity, Gas & Water;-84,00;;07/03/2025;07/03/2025;0
07/03/2025;SUSHI DEMO;CARD SUSHI DEMO PURCHASE 060325;DEMO202503000068;;Card Payment;Food;Restaurants & Cafes;-41,37;;06/03/2025;07/03/2025;0
03/03/2025;LILAC RESIDENCE;SEPA TRANSFER RENT 2025-03;DEMO202503000051;RENT AND SERVICE CHARGES - FICTIONAL DATA;Bank Transfer;Housing & Real Estate;Rent & Service Charges;-820,00;;03/03/2025;03/03/2025;0
03/03/2025;INTERMARCHE;CARD INTERMARCHE PURCHASE 020325;DEMO202503000063;;Card Payment;Food;Supermarket;-76,93;;02/03/2025;03/03/2025;0
28/02/2025;HORIZON WORKSHOP DEMO;SEPA TRANSFER HORIZON WORKSHOP SALARY 2025-02;DEMO202502000025;NET SALARY 2025-02 - FICTIONAL DATA;Incoming Bank Transfer;Salary & Income;Salary;;+2850,00;28/02/2025;28/02/2025;0
27/02/2025;LIDL;CARD LIDL PURCHASE 260225;DEMO202502000042;;Card Payment;Food;Supermarket;-45,49;;26/02/2025;27/02/2025;0
26/02/2025;UBER;CARD UBER TRIP PURCHASE 250225;DEMO202502000046;;Card Payment;Transportation;Taxi & Ride-Hailing;-19,17;;25/02/2025;26/02/2025;0
24/02/2025;NAVIGO;SEPA DIRECT DEBIT NAVIGO 2025-02;DEMO202502000035;DEMO SUBSCRIPTION;Direct Debit;Transportation;Public Transportation;-86,40;;24/02/2025;24/02/2025;0
23/02/2025;REPUBLIC CAFE;CARD REPUBLIC CAFE PURCHASE 220225;DEMO202502000044;;Card Payment;Food;Restaurants & Cafes;-46,82;;22/02/2025;23/02/2025;0
21/02/2025;BASIC FIT;SEPA DIRECT DEBIT BASIC FIT 2025-02;DEMO202502000034;DEMO SUBSCRIPTION;Direct Debit;Health & Wellness;Sports & Fitness;-24,99;;21/02/2025;21/02/2025;0
21/02/2025;LIDL;CARD LIDL PURCHASE 200225;DEMO202502000041;;Card Payment;Food;Supermarket;-96,14;;20/02/2025;21/02/2025;0
19/02/2025;GROUP REFUND DEMO;SEPA TRANSFER GROUP REFUND DEMO;DEMO202502000048;FICTIONAL EXPENSE SHARING;Incoming Bank Transfer;Transfers;Reimbursement Between Friends & Family;;+74,95;19/02/2025;19/02/2025;0
19/02/2025;OPENAI CHATGPT;CARD OPENAI CHATGPT 2025-02;DEMO202502000033;DEMO SUBSCRIPTION;Card Payment;Shopping & Services;Digital Services;-23,00;;18/02/2025;19/02/2025;0
18/02/2025;BANK FEES;DEMO PACKAGE FEE;DEMO202502000036;;Bank Fees;Banking & Insurance;Bank Fees;-9,90;;18/02/2025;18/02/2025;0
18/02/2025;FEE REBATE;DEMO PACKAGE SERVICES REBATE;DEMO202502000037;;Bank Fees;Banking & Insurance;Bank Fees;;+4,95;18/02/2025;18/02/2025;0
17/02/2025;NETFLIX;CARD NETFLIX 2025-02;DEMO202502000032;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Video Streaming;-13,49;;16/02/2025;17/02/2025;0
15/02/2025;CARREFOUR CITY;CARD CARREFOUR CITY PURCHASE 140225;DEMO202502000040;;Card Payment;Food;Supermarket;-84,55;;14/02/2025;15/02/2025;0
15/02/2025;SPOTIFY;CARD SPOTIFY 2025-02;DEMO202502000031;DEMO SUBSCRIPTION;Card Payment;Leisure & Travel;Music;-11,12;;14/02/2025;15/02/2025;0
14/02/2025;AMAZON DEMO;CARD AMAZON DEMO PURCHASE 130225;DEMO202502000047;;Card Payment;Shopping & Services;Shopping & Services - Other;-58,02;;13/02/2025;14/02/2025;0
12/02/2025;SERENITY INSURANCE;SEPA DIRECT DEBIT SERENITY INSURANCE 2025-02;DEMO202502000030;DEMO SUBSCRIPTION;Direct Debit;Banking & Insurance;Home Insurance;-38,60;;12/02/2025;12/02/2025;0
11/02/2025;MOBILE NOVA;SEPA DIRECT DEBIT MOBILE NOVA 2025-02;DEMO202502000029;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Mobile Phone;-14,99;;11/02/2025;11/02/2025;0
11/02/2025;UBER;CARD UBER TRIP PURCHASE 100225;DEMO202502000045;;Card Payment;Transportation;Taxi & Ride-Hailing;-17,23;;10/02/2025;11/02/2025;0
09/02/2025;NOVA FIBER;SEPA DIRECT DEBIT NOVA FIBER 2025-02;DEMO202502000028;DEMO SUBSCRIPTION;Direct Debit;Phone & Internet;Internet;-29,99;;09/02/2025;09/02/2025;0
09/02/2025;MONOPRIX;CARD MONOPRIX PURCHASE 080225;DEMO202502000039;;Card Payment;Food;Supermarket;-58,10;;08/02/2025;09/02/2025;0
